Symbol	Name
INO80	INO80 complex subunit
ITPR1	inositol 1,4,5-trisphosphate receptor, type 1
ITPR2	inositol 1,4,5-trisphosphate receptor, type 2
ITPR3	inositol 1,4,5-trisphosphate receptor, type 3
KREMEN1	kringle containing transmembrane protein 1
KREMEN2	kringle containing transmembrane protein 2
LEF1	lymphoid enhancer-binding factor 1
LRP5	low density lipoprotein receptor-related protein 5
LRP6	low density lipoprotein receptor-related protein 6
MAP3K7	mitogen-activated protein kinase kinase kinase 7
NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
NKD1	naked cuticle homolog 1 (Drosophila)
NKD2	naked cuticle homolog 2 (Drosophila)
NLK	nemo-like kinase
PCDH1	protocadherin 1
PCDH10	protocadherin 10
PCDH11X	protocadherin 11 X-linked
PCDH11Y	protocadherin 11 Y-linked
PCDH12	protocadherin 12
PCDH15	protocadherin-related 15
PCDH18	protocadherin 18
PCDH19	protocadherin 19
PCDH20	protocadherin 20
PCDH7	protocadherin 7
PCDH8	protocadherin 8
PCDH9	protocadherin 9
PCDHA1	protocadherin alpha 1
PCDHA10	protocadherin alpha 10
PCDHA11	protocadherin alpha 11
PCDHA12	protocadherin alpha 12
PCDHA13	protocadherin alpha 13
PCDHA2	protocadherin alpha 2
PCDHA3	protocadherin alpha 3
PCDHA4	protocadherin alpha 4
PCDHA5	protocadherin alpha 5
PCDHA6	protocadherin alpha 6
PCDHA7	protocadherin alpha 7
PCDHA8	protocadherin alpha 8
PCDHA9	protocadherin alpha 9
PCDHAC1	protocadherin alpha subfamily C, 1
PCDHAC2	protocadherin alpha subfamily C, 2
PCDHB1	protocadherin beta 1
PCDHB10	protocadherin beta 10
PCDHB11	protocadherin beta 11
PCDHB12	protocadherin beta 12
PCDHB13	protocadherin beta 13
PCDHB14	protocadherin beta 14
PCDHB15	protocadherin beta 15
PCDHB16	protocadherin beta 16
PCDHB2	protocadherin beta 2
PCDHB3	protocadherin beta 3
PCDHB4	protocadherin beta 4
PCDHB5	protocadherin beta 5
PCDHB6	protocadherin beta 6
PCDHB7	protocadherin beta 7
PCDHB8	protocadherin beta 8
PCDHGA1	protocadherin gamma subfamily A, 1
PCDHGA10	protocadherin gamma subfamily A, 10
PCDHGA11	protocadherin gamma subfamily A, 11
PCDHGA12	protocadherin gamma subfamily A, 12
PCDHGA2	protocadherin gamma subfamily A, 2
PCDHGA3	protocadherin gamma subfamily A, 3
PCDHGA5	protocadherin gamma subfamily A, 5
PCDHGA6	protocadherin gamma subfamily A, 6
PCDHGA7	protocadherin gamma subfamily A, 7
PCDHGA8	protocadherin gamma subfamily A, 8
PCDHGB1	protocadherin gamma subfamily B, 1
PCDHGB2	protocadherin gamma subfamily B, 2
PCDHGB4	protocadherin gamma subfamily B, 4
PCDHGB6	protocadherin gamma subfamily B, 6
PCDHGB7	protocadherin gamma subfamily B, 7
PCDHGC3	protocadherin gamma subfamily C, 3
PCDHGC4	protocadherin gamma subfamily C, 4
PCDHGC5	protocadherin gamma subfamily C, 5
PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)
PLCB2	phospholipase C, beta 2
PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific)
PLCB4	phospholipase C, beta 4
PPP2CA	protein phosphatase 2, catalytic subunit, alpha isozyme
PPP2CB	protein phosphatase 2, catalytic subunit, beta isozyme
PPP2R5A	protein phosphatase 2, regulatory subunit B', alpha
PPP2R5B	protein phosphatase 2, regulatory subunit B', beta
PPP2R5C	protein phosphatase 2, regulatory subunit B', gamma
PPP2R5D	protein phosphatase 2, regulatory subunit B', delta
PPP2R5E	protein phosphatase 2, regulatory subunit B', epsilon isoform
PPP3CA	protein phosphatase 3, catalytic subunit, alpha isozyme
PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme
PPP3CC	protein phosphatase 3, catalytic subunit, gamma isozyme
PPP3R1	protein phosphatase 3, regulatory subunit B, alpha
PPP3R2	protein phosphatase 3, regulatory subunit B, beta
PRKCA	protein kinase C, alpha
PRKCB	protein kinase C, beta
PRKCD	protein kinase C, delta
PRKCE	protein kinase C, epsilon
PRKCG	protein kinase C, gamma
PRKCH	protein kinase C, eta
PRKCI	protein kinase C, iota
PRKCQ	protein kinase C, theta
PRKCZ	protein kinase C, zeta
PYGO1	pygopus family PHD finger 1
PYGO2	pygopus family PHD finger 2
SAG	S-antigen; retina and pineal gland (arrestin)
SFRP1	secreted frizzled-related protein 1
SFRP2	secreted frizzled-related protein 2
SFRP4	secreted frizzled-related protein 4
SFRP5	secreted frizzled-related protein 5
SIAH1	siah E3 ubiquitin protein ligase 1
SMAD1	SMAD family member 1
SMAD4	SMAD family member 4
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SRCAP	Snf2-related CREBBP activator protein
TBL1X	transducin (beta)-like 1X-linked
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1
TBL1Y	transducin (beta)-like 1, Y-linked
TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box)
TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)
TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
TLE2	transducin-like enhancer of split 2
TLE3	transducin-like enhancer of split 3
TLE4	transducin-like enhancer of split 4
TLE6	transducin-like enhancer of split 6
WNT1	wingless-type MMTV integration site family, member 1
WNT10A	wingless-type MMTV integration site family, member 10A
WNT10B	wingless-type MMTV integration site family, member 10B
WNT11	wingless-type MMTV integration site family, member 11
WNT16	wingless-type MMTV integration site family, member 16
WNT2	wingless-type MMTV integration site family member 2
WNT2B	wingless-type MMTV integration site family, member 2B
WNT3	wingless-type MMTV integration site family, member 3
WNT3A	wingless-type MMTV integration site family, member 3A
WNT4	wingless-type MMTV integration site family, member 4
WNT5A	wingless-type MMTV integration site family, member 5A
WNT5B	wingless-type MMTV integration site family, member 5B
WNT6	wingless-type MMTV integration site family, member 6
WNT7A	wingless-type MMTV integration site family, member 7A
WNT7B	wingless-type MMTV integration site family, member 7B
WNT8A	wingless-type MMTV integration site family, member 8A
WNT8B	wingless-type MMTV integration site family, member 8B
WNT9A	wingless-type MMTV integration site family, member 9A
WNT9B	wingless-type MMTV integration site family, member 9B
